year,month,day,hour,wind_speed,air_temp
2023,05,23,19,4.8,10.6
2023,05,23,20,5.1,10.5
2023,05,23,21,5.6,10.1
2023,05,23,22,4.4,10.6
2023,05,23,23,4.6,9.3
2023,05,24,00,3.8,8.9
2023,05,24,01,4.4,8.3
2023,05,24,02,3.4,8.2
2023,05,24,03,4.9,8.2
2023,05,24,04,4.5,8.1
2023,05,24,05,3.4,8.1
2023,05,24,06,3.7,8.0
2023,05,24,07,5.5,8.1
2023,05,24,08,6.1,8.0
2023,05,24,09,7.7,8.0
2023,05,24,10,6.4,8.3
2023,05,24,11,5.7,8.8
2023,05,24,12,7.8,8.9
2023,05,24,13,7.4,8.7
2023,05,24,14,9.3,7.7
2023,05,24,15,6.9,7.8
2023,05,24,16,7.3,8.0
2023,05,24,17,7.1,7.9
2023,05,24,18,7.6,8.1
2023,05,24,19,6.9,8.3
2023,05,24,20,7.3,8.0
2023,05,24,21,4.5,8.0
2023,05,24,22,5.6,7.4
2023,05,24,23,3.3,7.3
2023,05,25,00,3.4,6.8
2023,05,25,01,1.9,7.0
2023,05,25,02,0.3,7.3
2023,05,25,03,2.1,7.2
2023,05,25,04,4.5,7.2
2023,05,25,05,3.2,7.4
2023,05,25,06,4.7,7.7
2023,05,25,07,4.1,7.7
2023,05,25,08,5.3,8.0
2023,05,25,09,8.5,8.4
2023,05,25,10,9.2,8.3
2023,05,25,11,8.2,8.2
2023,05,25,12,7.7,8.4
2023,05,25,13,9.0,8.9
2023,05,25,14,6.2,9.0
2023,05,25,15,7.9,9.4
2023,05,25,16,6.6,9.3
2023,05,25,17,6.9,9.7
2023,05,25,18,9.7,10.1
2023,05,25,19,7.8,10.0
2023,05,25,20,8.1,10.1
2023,05,25,21,6.0,10.4
2023,05,25,22,9.4,10.8
2023,05,25,23,9.6,10.6
2023,05,26,00,8.8,10.0
2023,05,26,01,7.9,9.4
2023,05,26,02,8.8,9.0
2023,05,26,03,7.8,8.6
2023,05,26,04,6.1,8.2
2023,05,26,05,7.6,7.8
2023,05,26,06,8.3,7.3
2023,05,26,07,8.6,6.9
2023,05,26,08,6.7,6.6
2023,05,26,09,7.2,6.4
2023,05,26,10,6.9,6.5
2023,05,26,11,7.4,6.7
