#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 08 04 18 00 163  7.3  7.8 99.00 99.00 99.00 999 1016.1  15.9 999.0  15.9 99.0 99.00
2023 08 04 19 00 156  9.3 11.1 99.00 99.00 99.00 999 1015.7  15.9 999.0  15.9 99.0 99.00
2023 08 04 20 00 149 10.2 10.7 99.00 99.00 99.00 999 1015.3  15.8 999.0  15.8 99.0 99.00
2023 08 04 21 00 146 11.3 11.7 99.00 99.00 99.00 999 1015.1  15.9 999.0  15.9 99.0 99.00
2023 08 04 22 00 129  7.8  8.2 99.00 99.00 99.00 999 1014.7  15.7 999.0  15.7 99.0 99.00
2023 08 04 23 00 149  4.2  4.3 99.00 99.00 99.00 999 1015.1  15.7 999.0  15.7 99.0 99.00
2023 08 05 00 00 191  8.4  9.1 99.00 99.00 99.00 999 1015.4  17.4 999.0  17.4 99.0 99.00
2023 08 05 01 00 137  9.2  9.8 99.00 99.00 99.00 999 1014.3  15.6 999.0  15.6 99.0 99.00
2023 08 05 02 00 158  7.8  8.4 99.00 99.00 99.00 999 1014.3  15.5 999.0  15.5 99.0 99.00
2023 08 05 03 00 183  7.8  8.3 99.00 99.00 99.00 999 1014.2  15.5 999.0  15.5 99.0 99.00
2023 08 05 04 00 191  7.8  8.0 99.00 99.00 99.00 999 1014.1  16.0 999.0  16.0 99.0 99.00
2023 08 05 05 00 144  7.6  7.7 99.00 99.00 99.00 999 1013.1  15.8 999.0  15.8 99.0 99.00
2023 08 05 06 00 137  8.3  8.7 99.00 99.00 99.00 999 1012.8  15.0 999.0  15.0 99.0 99.00
2023 08 05 07 00 154  6.2  6.5 99.00 99.00 99.00 999 1012.7  15.1 999.0  15.1 99.0 99.00
2023 08 05 08 00 163  3.2  3.5 99.00 99.00 99.00 999 1012.9  15.2 999.0  15.2 99.0 99.00
2023 08 05 09 00  81  0.6  0.8 99.00 99.00 99.00 999 1012.8  15.1 999.0  15.1 99.0 99.00
2023 08 05 10 00  43  2.5  2.6 99.00 99.00 99.00 999 1013.1  14.1 999.0  14.1 99.0 99.00
2023 08 05 11 00  33  3.4  3.6 99.00 99.00 99.00 999 1012.9  14.4 999.0  14.4 99.0 99.00
2023 08 05 12 00  94  2.7  2.8 99.00 99.00 99.00 999 1013.1  15.2 999.0  15.2 99.0 99.00
2023 08 05 13 00 119  3.9  3.9 99.00 99.00 99.00 999 1013.7  15.5 999.0  15.5 99.0 99.00
2023 08 05 14 00 114  2.5  2.7 99.00 99.00 99.00 999 1013.3  16.4 999.0  16.4 99.0 99.00
2023 08 05 15 00   5  2.1  2.5 99.00 99.00 99.00 999 1013.6  14.0 999.0  14.0 99.0 99.00
2023 08 05 16 00  24  2.4  2.6 99.00 99.00 99.00 999 1013.3  14.4 999.0  14.4 99.0 99.00
2023 08 05 17 00 340  2.5  2.7 99.00 99.00 99.00 999 1013.2  14.7 999.0  14.7 99.0 99.00
2023 08 05 18 00 251  0.6  0.8 99.00 99.00 99.00 999 1013.0  16.8 999.0  16.8 99.0 99.00
2023 08 05 19 00 212  1.1  1.2 99.00 99.00 99.00 999 1012.7  17.1 999.0  17.1 99.0 99.00
2023 08 05 20 00 192  1.6  1.8 99.00 99.00 99.00 999 1012.3  20.6 999.0  17.7 99.0 99.00
2023 08 05 21 00 161  2.9  3.0 99.00 99.00 99.00 999 1012.5  18.7 999.0  16.2 99.0 99.00
2023 08 05 22 00 198  3.9  4.0 99.00 99.00 99.00 999 1012.9  17.4 999.0  16.5 99.0 99.00
2023 08 05 23 00 231  2.7  2.9 99.00 99.00 99.00 999 1013.0  16.5 999.0  16.5 99.0 99.00
2023 08 06 00 00 200  4.9  4.9 99.00 99.00 99.00 999 1013.0  15.9 999.0  15.9 99.0 99.00
2023 08 06 01 00 202  6.1  6.4 99.00 99.00 99.00 999 1013.4  16.4 999.0  16.4 99.0 99.00
2023 08 06 02 00 200  6.3  6.6 99.00 99.00 99.00 999 1013.3  15.8 999.0  15.8 99.0 99.00
2023 08 06 03 00 226  5.9  6.1 99.00 99.00 99.00 999 1013.3  15.0 999.0  15.0 99.0 99.00
2023 08 06 04 00 263  5.0  5.4 99.00 99.00 99.00 999 1013.5  14.3 999.0  14.3 99.0 99.00
2023 08 06 05 00 267  6.6  7.0 99.00 99.00 99.00 999 1013.2  15.2 999.0  15.2 99.0 99.00
2023 08 06 06 00 278  6.7  6.9 99.00 99.00 99.00 999 1012.9  16.4 999.0  15.0 99.0 99.00
2023 08 06 07 00 286  7.3  7.5 99.00 99.00 99.00 999 1013.0  15.9 999.0  13.0 99.0 99.00
2023 08 06 08 00 261  6.5  6.5 99.00 99.00 99.00 999 1013.3  16.2 999.0  12.8 99.0 99.00
2023 08 06 09 00 259  6.9  7.1 99.00 99.00 99.00 999 1013.6  15.1 999.0  12.9 99.0 99.00
2023 08 06 10 00 263  5.3  5.4 99.00 99.00 99.00 999 1013.9  15.6 999.0  12.7 99.0 99.00
2023 08 06 11 00 273  5.4  5.8 99.00 99.00 99.00 999 1013.8  14.5 999.0  13.0 99.0 99.00
2023 08 06 12 00 270  5.9  6.1 99.00 99.00 99.00 999 1013.7  14.4 999.0  13.2 99.0 99.00
2023 08 06 13 00 268  5.0  5.2 99.00 99.00 99.00 999 1013.3  15.2 999.0  12.7 99.0 99.00
2023 08 06 14 00 259  5.1  5.3 99.00 99.00 99.00 999 1013.3  14.6 999.0  13.3 99.0 99.00
2023 08 06 15 00 246  6.7  6.9 99.00 99.00 99.00 999 1013.0  14.7 999.0  13.2 99.0 99.00
